calibration_multiplier,samples_512,tokens,nb_fraction_ge_1,nb_fraction_ge_8,empirical_binomial_thinning_fraction_ge_1,empirical_binomial_thinning_fraction_ge_8
0.125,2.0,1024.0,0.6300161311107786,0.388551092076729,0.6219397818293065,0.27062037749133083
0.25,4.0,2048.0,0.6796878553355371,0.4679103203036207,0.7057515860058456,0.36064812533158724
0.5,8.0,4096.0,0.7228162352649915,0.5383518180831273,0.7770358946064041,0.46486378359824543
0.75,12.0,6144.0,0.7453291406597349,0.5754761146015843,0.8118939790737244,0.5265923584641743
1.0,16.0,8192.0,0.7601920499631788,0.6000767599089991,0.8333030523255814,0.5691315406976745
1.5,24.0,12288.0,0.7796859955900353,0.6324252754995977,,
2,32,16384,0.7925516689849782,0.6538145408932448,,
3,48,24576,0.8094223436404978,0.6818980947365385,,
4,64,32768,0.8205549123407037,0.7004470543698887,,
6,96,49152,0.8351513634041993,0.7247830801551342,,
8,128,65536,0.8447824495857735,0.7408480522686083,,
12,192,98304,0.8574095354264162,0.7619171997505161,,
16,256,131072,0.8657408522673706,0.7758218047473554,,
24,384,196608,0.8766635395130832,0.7940542143801788,,
32,512,262144,0.8838701537896233,0.8060850679002468,,
64,1024,524288,0.8995517747709368,0.8322669555087311,,
128,2048,1048576,0.9131159792424391,0.8549155882604399,,
256,4096,2097152,0.9248485842474752,0.8745067839283026,,
512,8192,4194304,0.9349968760213174,0.8914528483421628,,
1024,16384,8388608,0.9437747759867663,0.9061107310667509,,
2048,32768,16777216,0.9513673302190951,0.9187893185586135,,
4096,65536,33554432,0.9579346017771767,0.9297558457807007,,
8192,131072,67108864,0.963615041363402,0.93924148669156,,
16384,262144,134217728,0.9685284045205037,0.9474462091326508,,
32768,524288,268435456,0.9727782756324782,0.954542982479334,,
